[0, 1, 2, 3, 4, 5] : 5 : 0
[0, 1, 2, 3, 5, 4] : 6 : 0
[0, 1, 2, 4, 3, 5] : 6 : 0
[0, 1, 2, 4, 5, 3] : 7 : 0
[0, 1, 2, 5, 3, 4] : 7 : 0
[0, 1, 2, 5, 4, 3] : 8 : 0
[0, 1, 3, 2, 4, 5] : 6 : 0
[0, 1, 3, 2, 5, 4] : 7 : 0
[0, 1, 3, 4, 2, 5] : 7 : 0
[0, 1, 3, 4, 5, 2] : 8 : 0
[0, 1, 3, 5, 2, 4] : 8 : 0
[0, 1, 3, 5, 4, 2] : 9 : 0
[0, 1, 4, 2, 3, 5] : 7 : 0
[0, 1, 4, 2, 5, 3] : 8 : 0
[0, 1, 4, 3, 2, 5] : 8 : 0
[0, 1, 4, 3, 5, 2] : 9 : 0
[0, 1, 4, 5, 2, 3] : 9 : 0
[0, 1, 4, 5, 3, 2] : 10 : 0
[0, 1, 5, 2, 3, 4] : 8 : 0
[0, 1, 5, 2, 4, 3] : 9 : 0
[0, 1, 5, 3, 2, 4] : 9 : 0
[0, 1, 5, 3, 4, 2] : 10 : 0
[0, 1, 5, 4, 2, 3] : 10 : 0
[0, 1, 5, 4, 3, 2] : 11 : 0
[0, 2, 1, 3, 4, 5] : 6 : 0
[0, 2, 1, 3, 5, 4] : 7 : 0
[0, 2, 1, 4, 3, 5] : 7 : 0
[0, 2, 1, 4, 5, 3] : 8 : 0
[0, 2, 1, 5, 3, 4] : 8 : 0
[0, 2, 1, 5, 4, 3] : 9 : 0
[0, 2, 3, 1, 4, 5] : 7 : 0
[0, 2, 3, 1, 5, 4] : 8 : 0
[0, 2, 3, 4, 1, 5] : 8 : 0
[0, 2, 3, 4, 5, 1] : 9 : 0
[0, 2, 3, 5, 1, 4] : 9 : 0
[0, 2, 3, 5, 4, 1] : 10 : 0
[0, 2, 4, 1, 3, 5] : 8 : 0
[0, 2, 4, 1, 5, 3] : 9 : 0
[0, 2, 4, 3, 1, 5] : 9 : 0
[0, 2, 4, 3, 5, 1] : 10 : 0
[0, 2, 4, 5, 1, 3] : 10 : 0
[0, 2, 4, 5, 3, 1] : 11 : 0
[0, 2, 5, 1, 3, 4] : 9 : 0
